# source	target	keep_as_is	confidence	notes
Milvus v2.5.x	Milvus v2.5.x	true	high	bold | 1 section(s)
Other Database Components	その他のデータベースコンポーネント	false	high	bold | 1 section(s)
Core Support Services	コアサポートサービス	false	high	bold | 1 section(s)
Small	小	false	high	bold | 1 section(s)
Medium	中	false	high	bold | 1 section(s)
Large	大	false	high	bold | 1 section(s)
X-Large	特大	false	high	bold | 1 section(s)
Generally Available	一般提供	false	high	bold | 1 section(s)
Alert Policies	アラートポリシー	false	high	bold | 1 section(s)
mmap settings	mmap設定	false	high	bold | 1 section(s)
invitation registration	招待登録	false	high	bold | 1 section(s)
password recovery	パスワード回復	false	high	bold | 1 section(s)
batch ETL capability	バッチETL機能	false	high	bold | 1 section(s)
hours instead of days	日単位ではなく時間単位	false	high	bold | 1 section(s)
Stage	ステージ	false	high	bold | 1 section(s)
Request Body	リクエストボディ	false	high	bold | 1 section(s)
scheduled scaling	スケジュールされたスケーリング	false	high	bold | 1 section(s)
cluster level	クラスターレベル	false	high	bold | 1 section(s)
cluster-level backup	クラスターレベルのバックアップ	false	high	bold | 1 section(s)
Milvus 2.2.x	Milvus 2.2.x	true	high	bold | 1 section(s)
Ingestion pipeline	取り込みパイプライン	false	high	bold | 1 section(s)
Deletion Pipeline	削除パイプライン	false	high	bold | 1 section(s)
Audit Logs	監査ログ	false	high	bold, ngram-2 | 1 section(s)
all three cloud providers	3つのクラウドプロバイダーすべて	false	high	bold | 1 section(s)
paid feature	有料機能	false	high	bold | 1 section(s)
dedicated cluster	専用クラスター	false	high	bold | 1 section(s)
Enterprise Plan	Enterprise Plan	true	high	bold | 1 section(s)
IdP-specific flow	IdP固有のフロー	false	high	bold | 1 section(s)
Okta	Okta	true	high	bold | 1 section(s)
Microsoft Entra	Microsoft Entra	true	high	bold, ngram-2 | 1 section(s)
Google Workspace	Google Workspace	true	high	bold, ngram-2 | 1 section(s)
Better UX	UXの向上	false	high	bold | 1 section(s)
visual, IdP-specific examples	視覚的なIdP固有の例	false	high	bold | 1 section(s)
databases and collections	データベースとコレクション	false	high	bold | 1 section(s)
Milvus v2.6.x clusters	Milvus v2.6.x クラスター	true	high	bold | 1 section(s)
Field addition without downtime	ダウンタイムなしのフィールド追加	false	high	bold | 1 section(s)
Enhanced full-text search	強化された全文検索	false	high	bold | 1 section(s)
Accelerated JSON filtering	高速化されたJSONフィルタリング	false	high	bold | 1 section(s)
New reranking functions	新しい再ランキング関数	false	high	bold | 1 section(s)
Boost Ranker	Boost Ranker	true	high	bold, ngram-2 | 1 section(s)
Decay Ranker	Decay Ranker	true	high	bold, ngram-2 | 1 section(s)
INT8 vector support	INT8ベクトルサポート	false	high	bold | 1 section(s)
MINHASH_LSH index	MINHASH_LSHインデックス	true	high	bold | 1 section(s)
Partial upserts	部分的なアップサート	false	high	bold | 1 section(s)
Cluster Overview	クラスター概要	false	high	bold | 1 section(s)
Smart Data Management	スマートデータ管理	false	high	bold | 1 section(s)
Higher Cache Hit Rates	キャッシュヒット率の向上	false	high	bold | 1 section(s)
Cost Reduction	コスト削減	false	high	bold | 1 section(s)
Key Capabilities	主要機能	false	high	bold | 1 section(s)
Analyzer GUI	アナライザーGUI	true	high	bold | 1 section(s)
language-specific templates	言語固有のテンプレート	false	high	bold | 1 section(s)
diagnose connection issues	接続の問題を診断する	false	high	bold | 1 section(s)
Geometry data type support	Geometryデータ型サポート	false	high	bold | 1 section(s)
Struct data type support	Structデータ型サポート	false	high	bold | 1 section(s)
new projects	新規プロジェクト	false	high	bold | 1 section(s)
Stage has reached GA	ステージがGAに到達しました	false	high	bold | 1 section(s)
Volume	ボリューム	false	high	bold | 1 section(s)
Volume-level RBAC	ボリュームレベルRBAC	false	high	bold | 1 section(s)
Console support	コンソールサポート	false	high	bold | 1 section(s)
GCP support	GCPサポート	true	high	bold | 1 section(s)
AWS and GCP	AWS and GCP	true	high	bold | 1 section(s)
Granular Access Control	きめ細かなアクセス制御	false	high	bold | 1 section(s)
Comprehensive Auditing	包括的な監査	false	high	bold | 1 section(s)
TOTP-based MFA	TOTPベースのMFA	false	high	bold | 1 section(s)
Organization-Level Enforcement	組織レベルでの適用	false	high	bold | 1 section(s)
Legacy Migration	レガシー移行	false	high	bold | 1 section(s)
Milvus 2.3.x	Milvus 2.3.x	true	high	bold | 1 section(s)
Time-zone-aware timestamp support	タイムゾーンを考慮したタイムスタンプのサポート	false	high	bold | 1 section(s)
Highlighter	ハイライター	false	high	bold | 1 section(s)
Model-Based Embedding	モデルベースの埋め込み	false	high	bold | 1 section(s)
Model-Based Reranking	モデルベースの再ランキング	false	high	bold | 1 section(s)
Third-Party Model Provider Integration	サードパーティモデルプロバイダーとの統合	false	high	bold | 1 section(s)
Intelligent Replica Autoscaling	インテリジェントなレプリカの自動スケーリング	false	high	bold | 1 section(s)
Zero-Touch Reliability	ゼロタッチの信頼性	false	high	bold | 1 section(s)
latest capabilities	最新機能	false	high	bold | 1 section(s)
Data Import	データインポート	false	high	bold, ngram-2 | 1 section(s)
Milvus Endpoint Migration	Milvusエンドポイントの移行	false	high	bold | 1 section(s)
Geometry	ジオメトリ	false	high	bold | 1 section(s)
Struct	構造体	false	high	bold | 1 section(s)
Job Details View	ジョブ詳細ビュー	false	high	bold | 1 section(s)
Enhanced Metrics Dashboards	強化されたメトリクスダッシュボード	false	high	bold | 1 section(s)
Job Center	ジョブセンター	false	high	bold | 1 section(s)
Performance-optimized, Capacity-optimized	パフォーマンス最適化、容量最適化	false	high	bold | 1 section(s)
Evaluate Latency	レイテンシーの評価	false	high	bold | 1 section(s)
Assess Capacity	容量の評価	false	high	bold | 1 section(s)
Check Throughput	スループットの確認	false	high	bold | 1 section(s)
Architecture Design	アーキテクチャ設計	false	high	bold | 1 section(s)
Compute Node HA	計算ノードのHA	false	high	bold | 1 section(s)
Cost Optimization	コスト最適化	false	high	bold | 1 section(s)
multiple persistent replicas	複数の永続レプリカ	false	high	bold | 1 section(s)
dynamic in-memory loading	動的なインメモリ読み込み	false	high	bold | 1 section(s)
Core Mechanism	コアメカニズム	false	high	bold | 1 section(s)
Read/Write Separation	読み書き分離	false	high	bold | 1 section(s)
Key Benefits	主な利点	false	high	bold | 1 section(s)
CDC Synchronization	CDC同期	false	high	bold | 1 section(s)
Data Write Strategy	データ書き込み戦略	false	high	bold | 1 section(s)
Failover Modes	フェイルオーバーモード	false	high	bold | 1 section(s)
Cursor	カーソル	false	high	bold | 1 section(s)
Cursor Settings	カーソル設定	false	high	bold | 1 section(s)
Tools & Integrations	ツールと統合	false	high	bold | 1 section(s)
MCP Tools	MCP Tools	true	high	bold | 1 section(s)
Python	Python	true	high	bold | 1 section(s)
Standard and Enterprise	Standard and Enterprise	true	high	bold | 1 section(s)
Alert Settings	アラート設定	false	high	bold, ngram-2 | 1 section(s)
Send to	送信先	false	high	bold | 1 section(s)
Alert Resolution Notification	アラート解決通知	false	high	bold, ngram-3 | 1 section(s)
Webhook URL	Webhook URL	true	high	bold | 1 section(s)
Slack	Slack	true	high	bold | 1 section(s)
Incoming Rules	受信ルール	false	high	bold | 1 section(s)
Turn on integration	統合を有効にする	false	high	bold | 1 section(s)
Opsgenie	Opsgenie	true	high	bold | 1 section(s)
Lark	Lark	true	high	bold | 1 section(s)
Webhook	Webhook	true	high	bold | 1 section(s)
Organization Alerts	組織アラート	false	high	bold, ngram-2 | 1 section(s)
History	履歴	false	high	bold | 1 section(s)
First notification	最初の通知	false	high	bold | 1 section(s)
Second notification	2番目の通知	false	high	bold | 1 section(s)
Subsequent notifications	以降の通知	false	high	bold | 1 section(s)
Project Alerts	プロジェクトアラート	false	high	bold, ngram-2 | 1 section(s)
Organization-level metrics	組織レベルのメトリクス	false	high	bold | 1 section(s)
Project-level metrics	プロジェクトレベルのメトリクス	false	high	bold | 1 section(s)
Relative Range	相対範囲	false	high	bold | 1 section(s)
Absolute Range	絶対範囲	false	high	bold | 1 section(s)
Resources	リソース	false	high	bold | 1 section(s)
Performance	パフォーマンス	false	high	bold | 1 section(s)
Data	データ	false	high	bold | 1 section(s)
Schema preservation	スキーマの保持	false	high	bold | 1 section(s)
No field modifications	フィールドの変更なし	false	high	bold | 1 section(s)
Automatic indexing	自動インデックス作成	false	high	bold | 1 section(s)
Initialization	初期化	false	high	bold | 1 section(s)
Finalization	最終処理	false	high	bold | 1 section(s)
Locked	ロック済み	false	high	bold | 1 section(s)
Syncing	同期中	false	high	bold | 1 section(s)
Lag Behind Source	ソースからの遅延	false	high	bold, ngram-3 | 1 section(s)
Establish connection	接続を確立する	false	high	bold | 1 section(s)
Automatic detection	自動検出	false	high	bold | 1 section(s)
Field customization	フィールドのカスタマイズ	false	high	bold | 1 section(s)
Type conversion	型変換	false	high	bold | 1 section(s)
Advanced options	詳細オプション	false	high	bold | 1 section(s)
Small datasets	小規模データセット	false	high	bold | 1 section(s)
Large datasets	大規模データセット	false	high	bold | 1 section(s)
Real-time monitoring	リアルタイム監視	false	high	bold | 1 section(s)
Progress indicators	進捗インジケーター	false	high	bold | 1 section(s)
Error handling	エラー処理	false	high	bold | 1 section(s)
Validation	検証	false	high	bold | 1 section(s)
Migrations	移行	false	high	bold | 1 section(s)
Nullable	NULL許容	false	high	bold | 1 section(s)
Default Value	デフォルト値	false	high	bold, ngram-2 | 1 section(s)
Naming conflicts	名前の競合	false	high	bold | 1 section(s)
From Local File	ローカルファイルから	false	high	bold | 1 section(s)
From Object Storage	オブジェクトストレージから	false	high	bold | 1 section(s)
From Volume	ボリュームから	false	high	bold | 1 section(s)
into the	に	false	high	bold | 1 section(s)
Download	ダウンロード	false	high	bold | 1 section(s)
Manual Loading Required	手動ロードが必要です	false	high	bold, ngram-3 | 1 section(s)
All Organizations	すべての組織	false	high	bold | 1 section(s)
System Settings	システム設定	false	high	bold | 1 section(s)
Time Zone Settings	タイムゾーン設定	false	high	bold | 1 section(s)
System Maintenance Window	システムメンテナンス期間	false	high	bold, ngram-3 | 1 section(s)
Organization Members	組織メンバー	false	high	bold | 1 section(s)
Recycle Bin	ごみ箱	false	high	bold, ngram-2 | 1 section(s)
Bank Transfer History	銀行振込履歴	false	high	bold | 1 section(s)
Billing Admin	請求管理者	false	high	bold, ngram-2 | 1 section(s)
Billing	請求	false	high	bold | 1 section(s)
By Project	プロジェクト別	false	high	bold | 1 section(s)
By Cluster	クラスター別	false	high	bold | 1 section(s)
By Time Period	期間別	false	high	bold | 1 section(s)
By Cost Type	コストタイプ別	false	high	bold | 1 section(s)
By Cloud Region	クラウドリージョン別	false	high	bold | 1 section(s)
Web Console UI	WebコンソールUI	false	high	bold | 1 section(s)
Standard Plan	スタンダードプラン	false	high	bold | 1 section(s)
Payment	支払い	false	high	bold | 1 section(s)
Method	方法	false	high	bold | 1 section(s)
Credit Card	クレジットカード	false	high	bold, ngram-2 | 1 section(s)
Card number	カード番号	false	high	bold | 1 section(s)
Expiration	有効期限	false	high	bold | 1 section(s)
First Name	名	false	high	bold | 1 section(s)
Last Name	姓	false	high	bold | 1 section(s)
Company Name	会社名	false	high	bold | 1 section(s)
Email	Eメール	false	high	bold | 1 section(s)
Street Address	番地	false	high	bold | 1 section(s)
Country / Region	国/地域	false	high	bold | 1 section(s)
State / Province	都道府県	false	high	bold | 1 section(s)
City	市区町村	false	high	bold | 1 section(s)
ZIP/Postal Code	郵便番号	false	high	bold | 1 section(s)
Payment Method	支払い方法	false	high	bold, ngram-2 | 1 section(s)
Billing Profile	請求プロファイル	false	high	bold | 1 section(s)
Try for free	無料で試す	false	high	bold | 1 section(s)
Subscribe	購読	false	high	bold | 1 section(s)
Insufficient permissions	権限が不十分です	false	high	bold | 1 section(s)
"Insufficient Permissions"	"権限が不十分です"	false	high	bold | 1 section(s)
"Marketplace Linked"	"マーケットプレイスにリンク済み"	false	high	bold | 1 section(s)
Plans + Pricing	プランと料金	false	high	bold | 1 section(s)
Subscribe to Zilliz Cloud	Zilliz Cloudを購読する	false	high	bold | 1 section(s)
Project Details	プロジェクトの詳細	false	high	bold | 1 section(s)
Resource group	リソースグループ	false	high	bold | 1 section(s)
SaaS Details	SaaSの詳細	false	high	bold | 1 section(s)
Auto-renew	自動更新	false	high	bold | 1 section(s)
Purchaser PUID	購入者PUID	false	high	bold | 1 section(s)
All resources	すべてのリソース	false	high	bold | 1 section(s)
Resources/Recent	リソース/最近	false	high	bold | 1 section(s)
Cancel subscription	サブスクリプションをキャンセル	false	high	bold | 1 section(s)
New Zilliz Cloud subscription	新しいZilliz Cloudサブスクリプション	false	high	bold | 1 section(s)
Purchase details	購入の詳細	false	high	bold | 1 section(s)
Terms	規約	false	high	bold | 1 section(s)
Account Id	アカウントID	false	high	bold | 1 section(s)
Audit Logs Runtime	監査ログ実行時間	false	high	bold | 1 section(s)
Cluster Deployment Option	クラスターデプロイオプション	false	high	bold | 1 section(s)
Data Transfer Unit Price	データ転送単価	false	high	bold | 1 section(s)
Transferred Data Size	転送データサイズ	false	high	bold | 1 section(s)
Transfer Type	転送タイプ	false	high	bold | 1 section(s)
Source Continent	送信元大陸	false	high	bold | 1 section(s)
Destination Continent	送信先大陸	false	high	bold | 1 section(s)
Cluster Runtime	クラスター実行時間	false	high	bold | 1 section(s)
Cold Data Access	コールドデータアクセス	false	high	bold | 1 section(s)
Cloud Provider & Region	クラウドプロバイダーとリージョン	false	high	bold | 1 section(s)
Data Size	データサイズ	false	high	bold, ngram-2 | 1 section(s)
Storage Duration	ストレージ期間	false	high	bold | 1 section(s)
Cold Data Size	コールドデータサイズ	false	high	bold | 1 section(s)
Grace Period	猶予期間	false	high	bold, ngram-2 | 1 section(s)
Invoices	請求書	false	high	bold | 1 section(s)
Billing Admins	請求管理者	false	high	bold | 1 section(s)
Grace	猶予	false	high	bold | 1 section(s)
Period	期間	false	high	bold | 1 section(s)
Overdue Date	延滞期日	false	high	bold | 1 section(s)
Amazon S3	Amazon S3	true	high	bold | 1 section(s)
Basic Settings	基本設定	false	high	bold | 1 section(s)
Integration Name	統合名	false	high	bold | 1 section(s)
Integration Description	統合の説明	false	high	bold | 1 section(s)
Zilliz Cloud Cluster	Zilliz Cloudクラスター	true	high	bold, ngram-3 | 1 section(s)
General purpose buckets	汎用バケット	false	high	bold | 1 section(s)
Bucket type	バケットタイプ	false	high	bold | 1 section(s)
General purpose	汎用	false	high	bold | 1 section(s)
Policies	ポリシー	false	high	bold | 1 section(s)
Policy Name	ポリシー名	false	high	bold | 1 section(s)
Validate Integration	統合の検証	false	high	bold | 1 section(s)
Solution	ソリューション	false	high	bold | 1 section(s)
Azure Blob Storage	Azure Blob Storage	true	high	bold, ngram-3 | 1 section(s)
Storage accounts	ストレージアカウント	false	high	bold | 1 section(s)
Data Storage	データストレージ	false	high	bold | 1 section(s)
Containers	コンテナ	false	high	bold | 1 section(s)
Zilliz Cloud Cluster Region	Zilliz Cloudクラスターリージョン	true	high	bold | 1 section(s)
Storage Account Name	ストレージアカウント名	false	high	bold | 1 section(s)
Container Name	コンテナ名	false	high	bold | 1 section(s)
App registrations	アプリ登録	false	high	bold | 1 section(s)
Application registrations	アプリケーション登録	false	high	bold | 1 section(s)
Register an application	アプリケーションの登録	false	high	bold | 1 section(s)
Register	登録	false	high	bold | 1 section(s)
Register a New Application	新しいアプリケーションの登録	false	high	bold | 1 section(s)
Cluster Issuer URL	クラスター発行者URL	false	high	bold | 1 section(s)
Certificates & secrets	証明書とシークレット	false	high	bold | 1 section(s)
Federated credentials	フェデレーション資格情報	false	high	bold | 1 section(s)
Federated credential scenario	フェデレーション資格情報シナリオ	false	high	bold | 1 section(s)
Kubernetes accessing Azure resources	KubernetesによるAzureリソースへのアクセス	false	high	bold | 1 section(s)
Cluster issuer URL	クラスター発行者URL	false	high	bold | 1 section(s)
Service account name	サービスアカウント名	false	high	bold | 1 section(s)
Audience	対象ユーザー	false	high	bold | 1 section(s)
Job function roles	職務ロール	false	high	bold | 1 section(s)
Storage Blob Data Contributor	Storage Blobデータ共同作成者	true	high	bold | 1 section(s)
Members	メンバー	false	high	bold | 1 section(s)
Datadog	Datadog	true	high	bold | 1 section(s)
Configuration Name	構成名	false	high	bold | 1 section(s)
Datadog API Key	Datadog APIキー	true	high	bold | 1 section(s)
Datadog Site	Datadogサイト	true	high	bold | 1 section(s)
Test Integration	統合テスト	false	high	bold | 1 section(s)
Google Cloud Storage Bucket	Google Cloud Storageバケット	true	high	bold | 1 section(s)
Title	タイトル	false	high	bold | 1 section(s)
Multi-region	マルチリージョン	false	high	bold | 1 section(s)
Dual-region	デュアルリージョン	false	high	bold | 1 section(s)
Google Service Account	Googleサービスアカウント	true	high	bold | 1 section(s)
model provider integration	モデルプロバイダー連携	false	high	bold | 1 section(s)
Text Embedding Functions	テキスト埋め込み関数	false	high	bold, ngram-3 | 1 section(s)
Model-based Rankers	モデルベースのランカー	false	high	bold, ngram-2 | 1 section(s)
API key	APIキー	true	high	bold | 1 section(s)
Model Providers	モデルプロバイダー	false	high	bold, ngram-2 | 1 section(s)
Model Provider	モデルプロバイダー	false	high	bold | 1 section(s)
Credential Information	認証情報	false	high	bold | 1 section(s)
Text Embedding Function	テキスト埋め込み関数	false	high	bold | 1 section(s)
Jobs	ジョブ	false	high	bold | 1 section(s)
Via web console	ウェブコンソール経由	false	high	bold | 1 section(s)
Via RESTful API	RESTful API経由	false	high	bold, ngram-3 | 1 section(s)
On the organization level	組織レベルで	false	high	bold | 1 section(s)
On the project level	プロジェクトレベルで	false	high	bold | 1 section(s)
On the cluster level	クラスターレベルで	false	high	bold | 1 section(s)
privilege group	特権グループ	false	high	bold | 1 section(s)
Read-Write	読み書き	false	high	bold | 1 section(s)
Read-Only	読み取り専用	false	high	bold | 1 section(s)
Data Management	データ管理	false	high	bold | 1 section(s)
System Events	システムイベント	false	high	bold | 1 section(s)
File Path	ファイルパス	false	high	bold | 1 section(s)
File Naming Convention	ファイル命名規則	false	high	bold | 1 section(s)
Dedicated-Enterprise	Dedicated-Enterprise	true	high	bold | 1 section(s)
Auditing	監査	false	high	bold | 1 section(s)
Storage Integration	ストレージ統合	false	high	bold | 1 section(s)
Forward Directory	転送ディレクトリ	false	high	bold | 1 section(s)
Audit Log	監査ログ	false	high	bold, ngram-2 | 1 section(s)
Abnormal	異常	false	high	bold | 1 section(s)
Platform Audit Logs	プラットフォーム監査ログ	false	high	bold, ngram-3 | 1 section(s)
Profile	プロファイル	false	high	bold | 1 section(s)
Account Settings	アカウント設定	false	high	bold, ngram-2 | 1 section(s)
Unlink from Google	Googleとのリンクを解除	false	high	bold | 1 section(s)
Unlink	リンクを解除	false	high	bold | 1 section(s)
Unlink from GitHub	GitHubとのリンクを解除	false	high	bold | 1 section(s)
Account	アカウント	false	high	bold | 1 section(s)
Close Account	アカウントを閉鎖	false	high	bold | 1 section(s)
Send Verification Code	認証コードを送信	false	high	bold | 1 section(s)
Personal API keys	個人APIキー	false	high	bold | 1 section(s)
Member's personal API key	メンバーの個人APIキー	false	high	bold | 1 section(s)
Customized API keys	カスタマイズされたAPIキー	false	high	bold | 1 section(s)
Project Admins	プロジェクト管理者	false	high	bold | 1 section(s)
API Key Name	APIキー名	false	high	bold, ngram-3 | 1 section(s)
API Key Access	APIキーアクセス	false	high	bold, ngram-3 | 1 section(s)
SSO compatibility	SSO互換性	false	high	bold | 1 section(s)
Login method compatibility	ログイン方法の互換性	false	high	bold | 1 section(s)
Single sign-on URL	シングルサインオンURL	false	high	bold | 1 section(s)
Service Provider Details	サービスプロバイダーの詳細	false	high	bold, ngram-3 | 1 section(s)
Applications	アプリケーション	false	high	bold | 1 section(s)
OIDC - OpenID Connect	OIDC - OpenID Connect	true	high	bold | 1 section(s)
Web Application	Webアプリケーション	false	high	bold | 1 section(s)
App integration name	アプリ連携名	false	high	bold | 1 section(s)
Sign-in redirect URIs	サインインリダイレクトURI	false	high	bold | 1 section(s)
Controlled access	制御されたアクセス	false	high	bold | 1 section(s)
Client ID	クライアントID	false	high	bold | 1 section(s)
Client Secret	クライアントシークレット	false	high	bold | 1 section(s)
Okta domain	Oktaドメイン	false	high	bold | 1 section(s)
Identity Provider Details	IDプロバイダーの詳細	false	high	bold, ngram-3 | 1 section(s)
Okta Domain	Okta Domain	true	high	bold | 1 section(s)
Assignments	割り当て	false	high	bold | 1 section(s)
Go Back	戻る	false	high	bold | 1 section(s)
Owner	オーナー	false	high	bold | 1 section(s)
Entity ID	エンティティID	false	high	bold, ngram-2 | 1 section(s)
Apps	アプリ	false	high	bold | 1 section(s)
Web and mobile apps	Webおよびモバイルアプリ	false	high	bold | 1 section(s)
Service provider details	サービスプロバイダーの詳細	false	high	bold | 1 section(s)
Attributes	属性	false	high	bold | 1 section(s)
Google Directory attributes	Googleディレクトリ属性	false	high	bold | 1 section(s)
Primary email	プライマリメール	false	high	bold | 1 section(s)
App attributes	アプリ属性	false	high	bold | 1 section(s)
Finish	完了	false	high	bold | 1 section(s)
User access	ユーザーアクセス	false	high	bold | 1 section(s)
Service status	サービスステータス	false	high	bold | 1 section(s)
Inherited	継承済み	false	high	bold | 1 section(s)
Override	上書き	false	high	bold | 1 section(s)
Overridden	上書き済み	false	high	bold | 1 section(s)
Inherit	継承する	false	high	bold | 1 section(s)
Enterprise apps	エンタープライズアプリ	false	high	bold | 1 section(s)
New application	新しいアプリケーション	false	high	bold | 1 section(s)
Single sign-on	シングルサインオン	false	high	bold | 1 section(s)
Basic SAML Configuration	基本SAML構成	false	high	bold | 1 section(s)
App Federation Metadata Url	App Federation Metadata Url	true	high	bold | 1 section(s)
App Federation Metadata URL	App Federation Metadata URL	true	high	bold | 1 section(s)
Users and groups	ユーザーとグループ	false	high	bold | 1 section(s)
SAML 2.0	SAML 2.0	true	high	bold | 1 section(s)
App name	アプリ名	false	high	bold | 1 section(s)
General	一般	false	high	bold | 1 section(s)
check the box	チェックボックスをオンにする	false	high	bold | 1 section(s)
Sign On	サインオン	false	high	bold | 1 section(s)
Metadata URL	メタデータURL	false	high	bold | 1 section(s)
SP Entity ID	SPエンティティID	false	high	bold, ngram-3 | 1 section(s)
Option 2 – Manual	オプション2 – 手動	false	high	bold | 1 section(s)
IdP SSO URL	IdP SSO URL	true	high	bold | 1 section(s)
x.509 Certificate	x.509証明書	false	high	bold | 1 section(s)
Multiple data residency options	複数のデータレジデンシーオプション	false	high	bold | 1 section(s)
Network > Private Endpoint	ネットワーク > プライベートエンドポイント	false	high	bold | 1 section(s)
Via UI console	UIコンソール経由	false	high	bold | 1 section(s)
Via UI Console	UIコンソール経由	false	high	bold | 1 section(s)
Service Settings	サービス設定	false	high	bold | 1 section(s)
Via CLI	CLI経由	false	high	bold | 1 section(s)
Your VPCs	お客様のVPC	false	high	bold | 1 section(s)
Private Link	Private Link	true	high	bold, ngram-2 | 1 section(s)
Hosted zone configuration	ホストゾーン設定	false	high	bold | 1 section(s)
Alias	エイリアス	false	high	bold | 1 section(s)
Alias to VPC endpoint	VPCエンドポイントへのエイリアス	false	high	bold | 1 section(s)
Azure	Azure	true	high	bold | 1 section(s)
Next: Resource >	次へ: リソース >	false	high	bold | 1 section(s)
Resource ID or alias	リソースIDまたはエイリアス	false	high	bold | 1 section(s)
Virtual network	仮想ネットワーク	false	high	bold | 1 section(s)
Go to resource	リソースに移動	false	high	bold | 1 section(s)
JSON View	JSONビュー	false	high	bold | 1 section(s)
Connection Status	接続ステータス	false	high	bold | 1 section(s)
Resource JSON	リソースJSON	false	high	bold | 1 section(s)
DNS configuration	DNS設定	false	high	bold | 1 section(s)
IP address	IPアドレス	false	high	bold | 1 section(s)
Basics	基本	false	high	bold | 1 section(s)
Instance details	インスタンスの詳細	false	high	bold | 1 section(s)
DNS Management	DNS管理	false	high	bold | 1 section(s)
Link name	リンク名	false	high	bold | 1 section(s)
Configuration	設定	false	high	bold | 1 section(s)
Completed	完了	false	high	bold | 1 section(s)
Approved	承認済み	false	high	bold | 1 section(s)
Connection	接続	false	high	bold | 1 section(s)
via UI Console	UIコンソール経由	false	high	bold | 1 section(s)
via CLI	CLI経由	false	high	bold | 1 section(s)
Target Service	ターゲットサービス	false	high	bold | 1 section(s)
Endpoint name	エンドポイント名	false	high	bold | 1 section(s)
Network	ネットワーク	false	high	bold | 1 section(s)
Subnetwork	サブネットワーク	false	high	bold | 1 section(s)
Project ID	プロジェクトID	false	high	bold | 1 section(s)
VPC networks	VPCネットワーク	false	high	bold | 1 section(s)
Subnet Name	サブネット名	false	high	bold | 1 section(s)
Private	プライベート	false	high	bold | 1 section(s)
Zone type	ゾーンタイプ	false	high	bold | 1 section(s)
Zone name	ゾーン名	false	high	bold | 1 section(s)
DNS name	DNS名	false	high	bold | 1 section(s)
Networks	ネットワーク	false	high	bold | 1 section(s)
IPv4 Address	IPv4アドレス	false	high	bold | 1 section(s)
running Dedicated	Dedicatedの実行	false	high	bold | 1 section(s)
free trial volume	無料トライアルボリューム	false	high	bold | 1 section(s)
once per organization	組織ごとに1回	false	high	bold | 1 section(s)
pay-as-you-go volume	従量課金ボリューム	false	high	bold | 1 section(s)
Data import	データインポート	false	high	bold | 1 section(s)
Data migration	データ移行	false	high	bold | 1 section(s)
Data merging	データマージ	false	high	bold | 1 section(s)
Cloud Storage	Cloud Storage	true	high	ngram-2, bold | 1 section(s)
Private Service Connect	Private Service Connect	true	high	ngram-3, bold | 1 section(s)
Topology	トポロジー	false	high	bold | 1 section(s)
Proxy	プロキシ	false	high	bold | 1 section(s)
Coordinator	コーディネーター	false	high	bold | 1 section(s)
Data Node	データノード	false	high	bold | 1 section(s)
Back to Last Step	前のステップに戻る	false	high	bold | 1 section(s)
Operations	運用	false	high	bold | 1 section(s)
Data management & security	データ管理とセキュリティ	false	high	bold | 1 section(s)
Internal Traffic	内部トラフィック	false	high	bold | 1 section(s)
External Traffic	外部トラフィック	false	high	bold | 1 section(s)
Same Security Group	同じセキュリティグループ	false	high	bold | 1 section(s)
VPC settings	VPC設定	false	high	bold | 1 section(s)
VPC and more	VPCなど	false	high	bold | 1 section(s)
Name tag auto-generation	名前タグの自動生成	false	high	bold | 1 section(s)
IPv4 CIDR block	IPv4 CIDRブロック	false	high	bold | 1 section(s)
Number of public subnets	パブリックサブネット数	false	high	bold | 1 section(s)
Number of private subnets	プライベートサブネット数	false	high	bold | 1 section(s)
Customize subnets CIDR blocks	サブネットCIDRブロックのカスタマイズ	false	high	bold | 1 section(s)
NAT gateways	NATゲートウェイ	false	high	bold | 1 section(s)
In 1 AZ	1つのAZ内	false	high	bold | 1 section(s)
DNS options	DNSオプション	false	high	bold | 1 section(s)
Additional tags	追加タグ	false	high	bold | 1 section(s)
Key	キー	false	high	bold | 1 section(s)
Resource map	リソースマップ	false	high	bold | 1 section(s)
Subnet Details	サブネットの詳細	false	high	bold | 1 section(s)
Security groups	セキュリティグループ	false	high	bold | 1 section(s)
Security group name	セキュリティグループ名	false	high	bold | 1 section(s)
Inbound rules	インバウンドルール	false	high	bold | 1 section(s)
Anywhere-IPv4	任意の場所-IPv4	false	high	bold | 1 section(s)
Destination	送信先	false	high	bold | 1 section(s)
Tags	タグ	false	high	bold | 1 section(s)
VPC dashboard	VPCダッシュボード	false	high	bold | 1 section(s)
PrivateLink and Lattice	PrivateLinkとLattice	true	high	bold | 1 section(s)
Name tag	名前タグ	false	high	bold | 1 section(s)
Service settings	サービス設定	false	high	bold | 1 section(s)
Service name	サービス名	false	high	bold | 1 section(s)
Network settings	ネットワーク設定	false	high	bold | 1 section(s)
Private DNS names	プライベートDNS名	false	high	bold | 1 section(s)
General purpose bucket	汎用バケット	false	high	bold | 1 section(s)
Zilliz Cloud console	Zilliz Cloudコンソール	true	high	bold | 1 section(s)
Bucket	バケット	false	high	bold | 1 section(s)
AWS Console	AWSコンソール	true	high	bold | 1 section(s)
